Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Water cooler,9,2,Statue,6,10,18,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)"
Water cooler,9,2,Couch,1,10,23,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)"
Water cooler,9,2,Phonebooth,0,6,28,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)"
Water cooler,9,2,Swing,1,4,31,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)"
Water cooler,9,2,Clock,3,3,34,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)"
Streetlamp,7,3,TV,1,1,35,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)"
Streetlamp,7,3,Desk,7,0,42,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)"
Streetlamp,7,3,Water cooler,9,2,46,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)"
Streetlamp,7,3,Stepladder,5,5,5,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)"
Streetlamp,7,3,Fridge,7,6,8,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)"
Streetlamp,7,3,Bicycle,8,8,11,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)"
Streetlamp,7,3,Statue,6,10,15,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)"
