Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Statue,6,10,TV,1,1,29,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)"
Bicycle,8,8,Clock,3,3,29,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Bicycle,8,8,Swing,1,4,32,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Bicycle,8,8,Phonebooth,0,6,35,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Bicycle,8,8,Couch,1,10,40,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Bicycle,8,8,Statue,6,10,45,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)"
Bicycle,8,8,Fridge,7,6,4,"(8, 8)->(8, 7)->(8, 6)->(7, 6)"
Bicycle,8,8,Stepladder,5,5,7,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)"
Bicycle,8,8,Streetlamp,7,3,11,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Bicycle,8,8,Water cooler,9,2,14,"(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
