Subject,Trial,Estimation Error
br19fr,4,8.438000000000017
br19fr,5,40.79199999999997
br19fr,6,118.01208
br19fr,7,116.67403
br19fr,8,17.173900000000003
br19fr,9,121.3954
br19fr,10,32.42920000000004
br19fr,11,40.441410000000005
br19fr,12,38.72395
br19fr,13,57.5719
br19fr,14,164.31224
br19fr,15,126.04761000000002
br19fr,16,22.624499999999998
br19fr,17,67.19715000000002
br19fr,18,67.60834999999997
br19fr,19,18.535499999999985
br19fr,20,15.93119999999999
br19fr,21,15.178699999999992
br19fr,22,0.9556999999999789
BR20CO,3,47.2123
BR20CO,4,118.2733
BR20CO,5,119.18552
BR20CO,6,74.87387000000001
BR20CO,7,24.341719999999995
BR20CO,8,80.37920000000003
BR20CO,9,48.624030000000005
BR20CO,10,144.11198
BR20CO,11,28.47879999999998
BR20CO,12,21.85798
BR20CO,13,100.15239
BR20CO,14,73.62800000000001
BR20CO,15,13.902899999999988
BR20CO,16,151.35457
BR20CO,17,69.47389999999999
BR20CO,18,44.888000000000005
BR20CO,19,134.3688
BR20CO,20,115.72425
BR20CO,21,80.9942
BR20CO,22,51.59131000000001
BR21FR,3,10.458250000000003
BR21FR,4,12.428799999999967
BR21FR,5,34.62389999999999
BR21FR,6,64.4855
BR21FR,7,8.021899999999988
BR21FR,8,15.5471
BR21FR,9,24.2688
BR21FR,10,4.208260000000003
BR21FR,11,24.595400000000012
BR21FR,12,7.812399999999997
BR21FR,13,34.837999999999994
BR21FR,14,42.41188
BR21FR,15,13.0257
BR21FR,16,11.423500000000018
BR21FR,17,2.058690000000013
BR21FR,18,20.005800000000022
BR21FR,19,3.370899999999949
BR21FR,20,56.15237
BR21FR,21,50.025847999999996
BR21FR,22,25.123929999999973
BR22FA,3,2.958580000000012
BR22FA,4,43.92594
BR22FA,5,2.6713000000000306
BR22FA,6,8.688000000000002
BR22FA,7,6.078100000000006
BR22FA,8,16.66239999999999
BR22FA,9,12.118800000000022
BR22FA,10,54.10449999999999
BR22FA,11,6.094299999999976
BR22FA,12,5.223900000000015
BR22FA,13,5.55838
BR22FA,14,10.673400000000015
BR22FA,15,65.1354
BR22FA,16,15.724167999999963
BR22FA,17,14.0471
BR22FA,18,14.341953
BR22FA,19,14.020899999999983
BR22FA,20,20.475799999999992
BR22FA,21,7.188000000000017
BR22FA,22,10.352329999999995
ca16he,3,54.835499999999996
ca16he,4,16.0083
ca16he,5,32.97890000000001
ca16he,6,32.09761000000003
ca16he,7,134.6743
ca16he,8,93.4443
ca16he,9,43.9376
ca16he,10,105.11878000000002
ca16he,11,50.391999999999996
